name,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
1,Eric Gonzalez (Geneva),.424,1.113,33-33,99,31,42,12,1,0,33,56,.566,24,4,9,2,0.547,1,4
2,Colin Marinpetro (Grove City),.401,1.098,45-45,167,52,67,17,2,3,45,97,.581,33,8,23,2,0.517,1,0
3,Jaden Nestor-fox (Bethany),.397,1.071,36-36,131,37,52,11,1,3,26,74,.565,24,5,9,0,0.506,0,1
4,Josiah Bodie (Franciscan),.394,1.039,38-38,142,38,56,14,2,2,24,80,.563,15,8,14,1,0.476,1,0
5,Aaron Babu (Geneva),.391,1.089,38-38,138,51,54,9,4,3,30,80,.580,23,10,27,2,0.509,0,0
6,Wade Stoehr (Franciscan),.376,.977,38-38,141,33,53,17,0,2,36,76,.539,14,4,15,2,0.438,3,0
7,William Wolff (Allegheny),.372,1.056,31-26,86,16,32,9,0,4,22,53,.616,7,5,33,0,0.440,2,1
8,Sam Bevin (Grove City),.371,.997,44-44,186,51,69,11,1,7,44,103,.554,24,4,22,5,0.443,5,1
9,Drew Garth (W&J),.369,1.018,42-41,149,31,55,11,1,6,34,86,.577,16,4,19,6,0.441,1,0
10,Josh Minnich (Grove City),.362,.948,45-45,177,45,64,10,0,4,49,86,.486,25,9,17,6,0.462,1,1
11,Nick Jacobs (Thiel),.362,.914,37-35,127,30,46,9,1,1,19,60,.472,19,0,23,5,0.442,1,0
12,Cooper Baxter (Chatham),.360,.997,34-30,89,25,32,6,2,2,21,48,.539,10,7,24,1,0.458,1,5
13,Matt Jennings (Allegheny),.360,.832,40-40,172,38,62,10,0,1,36,75,.436,4,8,13,3,0.396,3,0
14,Lyons Parker (Westminster),.359,.795,41-40,156,24,56,5,0,0,19,61,.391,11,2,26,1,0.404,2,2
15,Kelly David (Westminster),.358,.848,28-21,81,8,29,4,0,0,10,33,.407,8,4,16,1,0.441,0,2
16,J. Auld (Saint Vincent),.356,1.033,28-14,59,7,21,7,0,2,13,34,.576,10,1,17,0,0.457,0,2
17,Sonny Peluchette (Bethany),.355,.870,37-36,124,29,44,6,1,1,14,55,.444,16,0,10,0,0.426,1,1
18,Nathen Prunty (Thiel),.355,.959,41-40,155,30,55,12,0,6,44,85,.548,12,5,16,10,0.411,3,1
19,Jacob Laduca (W&J),.353,.999,43-43,156,49,55,14,1,4,24,83,.532,28,8,13,1,0.467,3,0
20,Tyson Bryant-dawson (Allegheny),.353,1.066,38-36,139,41,49,10,2,7,32,84,.604,24,6,23,0,0.462,2,2
21,D. Nicklow (Saint Vincent),.347,1.004,31-27,95,27,33,13,2,1,9,53,.558,10,7,20,1,0.446,0,2
22,Tommy Landsnes (Allegheny),.346,.940,38-37,136,28,47,8,2,3,38,68,.500,23,3,24,2,0.440,4,2
23,Calvin Cackowski (Thiel),.346,1.088,38-38,133,37,46,15,0,9,37,88,.662,11,9,35,1,0.426,2,0
24,Zack Sackett (Geneva),.344,.910,38-38,160,43,55,4,5,5,41,84,.525,13,1,15,4,0.385,5,0
25,John Fusco (Franciscan),.342,1.037,36-36,114,23,39,13,0,4,32,64,.561,23,6,25,0,0.476,0,0
26,Nolan Boehm (Chatham),.340,.916,31-30,100,22,34,4,4,0,22,46,.460,20,3,20,1,0.456,2,0
27,A. Williams (Waynesburg),.337,.951,28-26,92,21,31,10,1,1,14,46,.500,18,2,15,3,0.451,1,0
28,Knox Meier (W&J),.336,.934,38-35,125,25,42,11,2,2,20,63,.504,13,9,22,0,0.430,2,3
29,Tyler Skaggs (Allegheny),.333,.992,36-33,114,30,38,8,0,5,21,61,.535,20,6,15,0,0.457,0,2
30,Sam Meredith (Grove City),.331,.746,45-44,175,38,58,1,1,0,34,61,.349,13,8,12,2,0.397,3,4
31,Eddie Rueda (Chatham),.329,.789,40-40,173,28,57,12,1,1,34,74,.428,5,4,15,0,0.361,1,3
32,Ethan Bintrim (Thiel),.325,.779,41-39,120,28,39,4,0,0,16,43,.358,17,5,21,2,0.421,3,0
33,Joey Schimizzi (Thiel),.324,.811,29-21,74,13,24,5,0,0,17,29,.392,4,8,5,4,0.419,0,0
34,Holden Armstrong (Franciscan),.324,.787,28-27,102,22,33,4,1,0,11,39,.382,12,2,11,5,0.405,0,4
35,Colin Killian (Franciscan),.323,.762,27-15,62,7,20,3,0,0,10,23,.371,7,0,11,1,0.391,0,0
36,Nick Sampson (Grove City),.322,.779,44-44,171,52,55,6,0,0,18,61,.357,25,7,15,4,0.422,3,4
