name,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
37,Luke Vittone (Grove City),.321,.895,43-43,159,41,51,6,2,6,48,79,.497,21,4,23,5,0.398,7,1
38,D. Schmude (Saint Vincent),.320,.785,34-28,103,19,33,4,0,0,15,37,.359,18,1,13,0,0.426,0,0
39,Cole Sherwin (Thiel),.320,.784,28-28,100,15,32,8,0,0,20,40,.400,9,2,11,0,0.384,1,0
40,D. Hald (Saint Vincent),.315,.763,40-39,149,28,47,8,0,0,24,55,.369,14,8,6,3,0.394,4,2
41,Bradley Mcguire (Geneva),.313,.788,34-34,128,23,40,6,1,0,34,48,.375,21,3,24,3,0.413,3,1
42,Zach Lemansky (Geneva),.310,.833,36-34,113,27,35,10,1,0,23,47,.416,18,5,17,1,0.417,3,1
43,Nicholas Peffer (Franciscan),.310,.710,38-38,129,21,40,3,1,1,16,48,.372,6,0,16,2,0.338,1,2
44,Fletcher Hindman (Thiel),.309,.748,38-37,110,23,34,4,0,0,19,38,.345,10,10,12,2,0.403,4,3
45,T. Giraffa (Waynesburg),.305,.756,33-32,118,20,36,8,0,0,22,44,.373,12,3,10,1,0.383,0,1
46,Michael Twigg (Geneva),.304,.908,37-37,125,40,38,7,2,3,35,58,.464,30,4,20,1,0.444,3,1
47,Angelo Deleonardis (Chatham),.304,.727,40-40,168,37,51,5,0,0,26,56,.333,15,10,13,0,0.394,0,0
48,Nicl Roell (Bethany),.303,.701,29-26,99,11,30,4,0,0,9,34,.343,9,0,12,2,0.358,1,1
49,Murgenovich Logan (Westminster),.302,.821,40-40,159,35,48,9,2,2,21,67,.421,23,3,20,3,0.400,0,1
50,Chase Morrison (Thiel),.301,.694,39-38,146,31,44,5,0,0,21,49,.336,12,2,20,2,0.358,2,4
51,Kirk Bearjar (Geneva),.299,.806,32-31,117,15,35,7,0,2,27,48,.410,19,1,33,0,0.396,2,0
52,Grant Schaffner (Bethany),.298,.856,36-36,124,22,37,14,0,1,30,54,.435,14,13,36,1,0.421,1,0
53,Kallen Durbin (Grove City),.297,.764,30-19,74,9,22,2,2,0,20,28,.378,12,0,12,3,0.386,2,0
54,Liam Irving (Allegheny),.297,.835,34-27,91,20,27,3,0,1,18,33,.363,21,10,16,2,0.472,1,2
55,K. Belmont (Saint Vincent),.297,.844,38-35,118,27,35,10,0,3,30,54,.458,17,2,22,0,0.386,3,2
56,Campbell Braeden (Westminster),.296,.686,40-40,152,22,45,2,0,0,22,47,.309,17,4,23,1,0.377,2,5
57,Peter Tadic (Chatham),.295,.770,40-39,156,29,46,12,0,3,23,67,.429,7,5,17,2,0.341,2,1
58,Tyler Cote (Chatham),.293,.820,30-26,92,14,27,11,0,0,11,38,.413,16,3,23,0,0.407,2,0
59,Marquis Quinn (Westminster),.292,.774,32-31,113,18,33,6,3,0,17,45,.398,10,7,24,0,0.376,3,2
60,Anthony Franzonello (Franciscan),.290,.747,30-30,107,23,31,5,0,0,8,36,.336,16,6,12,1,0.411,0,2
61,Jd Robinson (Allegheny),.289,.732,29-24,97,18,28,3,1,1,16,36,.371,4,7,20,3,0.361,0,3
62,N. Hurd (Saint Vincent),.288,.725,30-25,66,13,19,4,0,0,5,23,.348,9,1,9,0,0.377,1,1
63,Colton Brightwell (Thiel),.286,.715,41-41,168,28,48,8,3,0,20,62,.369,13,3,29,2,0.346,1,0
64,Alejandro Samayoa (Allegheny),.283,.754,36-36,127,26,36,9,0,2,20,51,.402,9,5,18,1,0.352,1,2
65,Dereck Black (Bethany),.281,.665,36-36,128,29,36,1,0,0,16,37,.289,17,3,23,1,0.376,1,0
66,Wolf Andrew (Westminster),.278,.858,32-23,72,9,20,4,4,1,17,35,.486,11,1,26,0,0.372,2,3
67,Brian Feldman (W&J),.276,.738,37-29,116,18,32,11,0,1,29,46,.397,10,2,6,2,0.341,1,1
68,D. Mount (Waynesburg),.276,.674,35-31,127,19,35,9,0,0,21,44,.346,9,1,16,0,0.328,0,0
69,A. Engelmore (Waynesburg),.271,.602,36-36,133,12,36,5,0,0,22,41,.308,3,3,24,1,0.294,4,0
70,Scout Zaas (W&J),.267,.712,30-26,90,11,24,7,0,0,21,31,.344,14,1,18,0,0.368,1,0
71,Gian Degenova (Bethany),.266,.815,28-22,79,11,21,6,1,2,17,35,.443,11,3,20,0,0.372,1,0
72,J. Mosley (Waynesburg),.266,.592,31-27,79,8,21,1,0,0,7,22,.278,4,2,8,1,0.314,1,5
73,Devin Fluhmann (Chatham),.262,.744,35-33,122,29,32,8,2,0,21,44,.361,19,6,30,1,0.383,2,3
74,Devin Toothman (Bethany),.255,.673,26-16,51,11,13,0,0,0,12,13,.255,13,2,12,0,0.418,1,0
75,Garrett Lienhard (Allegheny),.253,.688,30-28,95,19,24,3,0,1,12,30,.316,13,5,34,0,0.372,0,1
76,Connor O'brien (Geneva),.248,.607,35-34,117,30,29,3,0,0,16,32,.274,11,5,21,0,0.333,2,1
77,Zac Stern (W&J),.248,.682,43-42,149,27,37,1,1,4,29,52,.349,15,6,23,1,0.333,4,1
78,Ty Blackburn (Chatham),.245,.701,32-31,98,22,24,5,0,0,14,29,.296,22,5,23,1,0.405,1,5
79,S. Burgdolt (Waynesburg),.245,.709,32-28,98,19,24,4,1,2,10,36,.367,12,3,12,0,0.342,1,4
80,Grant Dowden (Allegheny),.245,.616,29-12,49,12,12,1,0,0,9,13,.265,4,4,12,1,0.351,0,0
81,Niko Heidt (Bethany),.243,.586,29-20,70,12,17,4,0,0,6,21,.300,4,1,20,0,0.286,2,1
82,Reed Josh (Westminster),.242,.653,30-27,95,21,23,2,2,0,11,29,.305,12,4,15,0,0.348,1,1
83,N. Whiteman (Saint Vincent),.239,.663,34-26,88,19,21,2,0,0,14,23,.261,16,8,17,0,0.402,0,3
84,Teddy Platt (W&J),.238,.632,29-27,80,17,19,2,1,0,3,23,.288,11,3,9,0,0.344,2,2
85,Mike Hines (Bethany),.238,.710,27-19,63,13,15,3,0,1,6,21,.333,7,7,8,0,0.377,0,0
86,Brendan Cruz (W&J),.235,.704,37-31,102,18,24,2,0,4,18,38,.373,11,4,21,1,0.331,1,1
87,Paddy Hernjak (W&J),.234,.571,34-11,47,22,11,0,1,0,5,13,.277,2,2,8,0,0.294,0,2
88,A. Hess (Saint Vincent),.233,.639,40-40,120,18,28,3,1,0,16,33,.275,19,8,15,3,0.364,4,7
89,Tomko Chase (Westminster),.231,.667,35-35,130,21,30,9,1,1,14,44,.338,13,6,33,1,0.329,0,0
90,David Ferroni (Franciscan),.230,.564,34-34,100,7,23,3,1,0,13,28,.280,6,2,19,3,0.284,1,3
91,I. Petty (Saint Vincent),.227,.612,28-21,66,15,15,1,0,0,9,16,.242,8,7,11,2,0.370,0,4
92,Jake Bredl (Chatham),.220,.633,29-26,82,15,18,4,0,0,9,22,.268,7,13,23,0,0.365,2,0
93,C. Hamrick (Waynesburg),.219,.579,26-19,64,12,14,2,0,0,7,16,.250,8,3,10,1,0.329,1,0
94,Josh Dezenzo (W&J),.217,.799,37-33,115,26,25,6,0,8,23,55,.478,13,6,34,0,0.321,3,1
95,M. Disso (Saint Vincent),.213,.525,28-21,80,11,17,1,0,0,7,18,.225,5,5,3,4,0.300,0,3
96,Nick Banez (Allegheny),.209,.786,33-29,91,24,19,6,2,3,17,38,.418,13,10,22,1,0.368,0,1
97,Beach Derek (Westminster),.204,.687,36-27,93,13,19,5,2,2,14,34,.366,11,5,29,0,0.321,0,0
98,Adam Weber (Grove City),.179,.566,30-26,84,13,15,4,0,0,12,19,.226,11,10,12,0,0.340,1,4
