name,ERA,W,L,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,KL,2B,3B,HR,AB,B/AVG,WP,HBP,BK
1,Nick Guidas (Grove City),2.10,6,4,13,4,0-0,0,81.1,64,27,19,23,96,23,13,1,4,302,.212,9,7
2,Caleb Graft (Geneva),2.45,4,1,8,2,2-0,0,58.2,38,20,16,21,43,10,10,2,0,202,.188,3,5
3,Evan Umland (Grove City),2.52,5,4,7,3,0-0,2,64.1,62,24,18,10,70,16,10,2,1,246,.252,6,3
4,"Banfi, Kolto (Westminster)",2.92,4,5,11,3,0-0,1,77.0,81,28,25,9,57,10,9,2,2,296,.274,3,6
5,Dawson Thomas (Allegheny),3.05,6,1,6,0,0-0,0,44.1,32,15,15,5,30,12,5,1,2,159,.201,0,8
6,Dawson Morrow (Chatham),3.09,3,1,5,0,0-0,0,46.2,41,22,16,34,45,16,6,0,0,172,.238,5,4
7,Carter Beneigh (Chatham),3.32,5,4,12,1,1-0,0,62.1,55,25,23,40,58,20,10,0,2,231,.238,7,5
8,Ethan Marszalek (W&J),3.51,4,1,7,1,0-0,2,59.0,60,27,23,18,44,18,13,3,2,233,.258,9,7
9,"Gibbons, Rya (Westminster)",3.51,4,4,9,1,0-0,0,59.0,68,26,23,19,44,15,11,1,1,238,.286,0,4
10,Trey Mantle (Bethany),3.66,3,1,10,1,1-0,1,66.1,64,33,27,11,44,5,18,2,4,257,.249,3,9
11,"Vitale, Jake (Westminster)",3.77,3,2,7,0,0-0,2,43.0,49,23,18,16,31,5,7,1,0,171,.287,1,5
12,Anthony Pass (W&J),3.79,7,3,11,2,0-0,0,76.0,87,41,32,20,67,18,16,4,2,308,.282,3,7
13,Brent Herrmann (Allegheny),3.86,5,4,12,2,1-0,0,77.0,68,41,33,25,51,14,14,2,2,291,.234,9,9
14,Sam Bevin (Grove City),3.87,7,3,10,3,0-0,0,74.1,63,39,32,31,59,17,11,1,2,278,.227,5,9
15,Dalton Lucey (Waynesburg),3.92,6,4,12,4,0-0,0,78.0,82,44,34,26,48,10,16,1,5,304,.270,1,12
16,Dante Dimatteo (W&J),4.17,6,1,9,1,1-0,1,58.1,51,29,27,25,75,16,15,1,7,224,.228,13,5
17,Mark Schweickert (Allegheny),4.29,7,3,10,1,1-0,1,63.0,59,38,30,38,49,15,9,1,1,239,.247,6,10
18,Alec Katon (Thiel),4.45,4,4,12,1,0-0,0,60.2,62,42,30,36,55,17,13,3,2,236,.263,2,7
19,Ethan Erhard (Waynesburg),5.37,3,3,11,1,0-0,0,53.2,69,35,32,18,32,3,15,2,7,216,.319,2,11
20,Tyler Dancu (Saint Vincent),5.59,3,3,7,1,0-0,0,38.2,48,27,24,17,40,20,6,1,2,158,.304,4,3
21,Jonathan Perez (Franciscan),6.02,1,3,8,0,0-0,0,43.1,59,42,29,22,27,7,7,2,3,178,.331,6,4
22,Nate Lucas (Thiel),6.32,3,4,9,0,0-0,0,47.0,53,41,33,24,37,10,13,2,5,189,.280,8,8
23,Sean Mcaleer (Saint Vincent),6.47,2,1,6,1,0-0,0,40.1,55,35,29,16,34,10,10,1,4,174,.316,3,1
24,Brady Rzodkiewicz (Thiel),6.53,2,6,8,0,0-0,3,41.1,54,36,30,20,18,8,13,1,0,169,.320,1,6
25,Walker Cunningham (Allegheny),6.55,2,1,8,1,0-0,1,45.1,57,36,33,21,38,8,9,1,4,185,.308,7,13
26,Logan Bennett (Bethany),6.69,1,5,6,0,0-0,0,39.0,62,47,29,18,29,9,12,3,1,181,.343,5,5
27,Gavin Pratt (Waynesburg),7.48,2,4,8,1,0-0,0,43.1,52,41,36,41,33,10,16,0,3,173,.301,11,4
28,Andrew Heidemann (Franciscan),7.89,4,6,9,1,1-0,0,51.1,94,63,45,16,29,10,15,4,2,246,.382,10,5
29,Ryan Conover (Geneva),8.64,2,4,9,1,1-0,0,41.2,64,48,40,20,43,24,7,0,0,187,.342,1,6
